Segment,Total_Sellers,Churned,Never_Activated,Active,Avg_GMV,Total_GMV,Churn_Rate_%,Market_Share_%
Unknown,1,1,1,0,0.0,0.0,100.0,0.1
air_conditioning,3,3,2,0,883.3333333333334,2650.0,100.0,0.4
gifts,5,5,3,0,209.152,1045.76,100.0,0.6
handcrafted,12,12,11,2,72.99166666666666,875.9,100.0,1.4
other,3,3,3,0,0.0,0.0,100.0,0.4
jewerly,8,8,8,0,0.0,0.0,100.0,1.0
religious,1,1,1,0,0.0,0.0,100.0,0.1
perfume,2,2,2,0,0.0,0.0,100.0,0.2
fashion_accessories,19,18,15,2,412.1621052631579,7831.08,94.7,2.3
computers,34,32,22,2,346.24382352941177,11772.29,94.1,4.0
food_supplement,28,26,21,2,379.24821428571425,10618.949999999999,92.9,3.3
home_office_furniture,14,13,11,1,707.1828571428571,9900.56,92.9,1.7
phone_mobile,13,12,8,1,367.79153846153844,4781.29,92.3,1.5
food_drink,26,24,20,3,150.83961538461537,3921.83,92.3,3.1
baby,10,9,4,1,1632.096,16320.96,90.0,1.2
toys,20,18,12,3,279.838,5596.76,90.0,2.4
car_accessories,77,69,53,10,391.8828571428571,30174.98,89.6,9.1
home_decor,105,91,72,17,419.0012380952381,43995.13,86.7,12.5
construction_tools_house_garden,69,59,44,12,466.5034782608696,32188.74,85.5,8.2
stationery,13,11,6,2,625.4892307692309,8131.360000000001,84.6,1.5
sports_leisure,25,21,12,5,652.8608,16321.52,84.0,3.0
health_beauty,93,78,54,16,975.7830107526881,90747.81999999999,83.9,11.0
audio_video_electronics,64,53,34,11,785.0834375,50245.34,82.8,7.6
bags_backpacks,22,18,10,4,646.9863636363636,14233.7,81.8,2.6
party,5,4,4,1,77.796,388.98,80.0,0.6
pet,30,24,15,6,1349.961,40498.83,80.0,3.6
books,9,7,5,2,783.8633333333332,7054.7699999999995,77.8,1.1
bed_bath_table,22,17,12,5,702.205909090909,15448.529999999999,77.3,2.6
watches,8,6,5,2,14659.85875,117278.87,75.0,1.0
household_utilities,71,52,31,19,726.3205633802817,51568.76,73.2,8.4
music_instruments,9,6,5,3,648.8488888888888,5839.639999999999,66.7,1.1
small_appliances,12,8,6,4,3972.9058333333337,47674.87,66.7,1.4
home_appliances,7,4,2,3,3748.7385714285715,26241.170000000002,57.1,0.8
games_consoles,2,1,1,1,328.5,657.0,50.0,0.2
