Segment,Total_Sellers,Churned,Never_Activated,Active,Avg_GMV,Total_GMV,Churn_Rate_%,Market_Share_%
"cat, wolf",8,8,7,0,7.375,59.0,100.0,1.0
"eagle, wolf",3,3,3,0,0.0,0.0,100.0,0.4
"shark, cat",1,1,1,0,0.0,0.0,100.0,0.1
"shark, wolf",1,1,1,0,0.0,0.0,100.0,0.1
Unknown,177,155,106,28,1309.1563276836157,231720.66999999998,87.6,21.0
shark,24,21,17,3,1965.1008333333332,47162.42,87.5,2.9
eagle,123,106,77,18,737.600243902439,90724.83,86.2,14.6
wolf,95,80,58,15,225.03042105263157,21377.89,84.2,11.3
cat,407,339,243,75,693.6205896805898,282303.58,83.3,48.3
"eagle, cat",3,2,2,1,219.0,657.0,66.7,0.4
