Segment,Total_Sellers,Churned,Never_Activated,Active,Avg_GMV,Total_GMV,Churn_Rate_%,Market_Share_%
BA,3,3,1,0,1031.6000000000001,3094.8,100.0,0.4
DF,4,4,0,0,612.5725,2450.29,100.0,0.5
PE,1,1,0,0,319.9,319.9,100.0,0.1
Unknown,462,462,462,0,0.0,0.0,100.0,54.9
GO,7,6,0,1,1123.1971428571428,7862.38,85.7,0.8
PR,32,26,2,8,927.7784375,29688.91,81.2,3.8
RS,19,15,5,6,2280.3921052631576,43327.45,78.9,2.3
ES,4,3,1,1,2132.0725,8528.29,75.0,0.5
MG,26,18,3,8,1148.3276923076924,29856.52,69.2,3.1
RJ,26,17,3,10,2172.8015384615383,56492.84,65.4,3.1
SC,23,15,3,8,709.334347826087,16314.69,65.2,2.7
SP,232,145,34,96,2018.4410344827586,468278.32,62.5,27.6
CE,2,1,1,1,3521.0,7042.0,50.0,0.2
PB,1,0,0,1,749.0,749.0,0.0,0.1
